Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2010 [YR2010]
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Least developed countries: UN classification,LDC,5.9434850516573,5.20324701697348,4.50453847345595
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lebanon,LBN,3.372,2.405,1.966
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lesotho,LSO,4.721,3.792,3.302
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Liberia,LBR,6.499,5.866,4.971
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Libya,LBY,4.966,2.851,2.478
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Liechtenstein,LIE,..,1.57,1.4
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lithuania,LTU,2.03,1.39,1.5
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Low & middle income,LMY,3.58741339716491,2.90006984626468,2.66366849664209
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Low income,LIC,6.3690157277804,5.8589100649963,5.14400481831324
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Lower middle income,LMC,4.28439807020785,3.49549856519604,2.98787456364518
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Luxembourg,LUX,1.6,1.76,1.63
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Macao SAR, China",MAC,1.722,0.95,1.093
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Madagascar,MDG,6.179,5.551,4.603
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malawi,MWI,6.872,6.098,5.332
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malaysia,MYS,3.554,2.784,2.149
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Maldives,MDV,6.003,2.771,2.206
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mali,MLI,7.165,6.897,6.547
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Malta,MLT,2.04,1.68,1.36
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Marshall Islands,MHL,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritania,MRT,5.881,5.413,4.98
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mauritius,MUS,2.32,1.99,1.57
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mexico,MEX,3.47,2.716,2.34
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,"Micronesia, Fed. Sts.",FSM,4.958,4.3,3.46
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle East & North Africa,MEA,4.87766383340296,3.19350623784889,2.8962032246914
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle East & North Africa (excluding high income),MNA,4.87459083119702,3.15375403304489,2.91852688792685
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle East & North Africa (IDA & IBRD),TMN,4.85893387281261,3.13356929158998,2.90301466749742
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Middle income,MIC,3.37268319034565,2.65301381955511,2.42054756049344
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Moldova,MDA,2.414,1.435,1.275
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Monaco,MCO,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mongolia,MNG,4.052,2.141,2.637
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Montenegro,MNE,2.078,1.875,1.76
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Morocco,MAR,4.047,2.771,2.567
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Mozambique,MOZ,6.211,5.826,5.392
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Myanmar,MMR,3.447,2.878,2.359
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Namibia,NAM,5.219,3.88,3.631
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nauru,NRU,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nepal,NPL,5.172,3.955,2.542
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Netherlands,NLD,1.62,1.72,1.79
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Caledonia,NCL,3.18,2.59,2.2
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,New Zealand,NZL,2.18,1.98,2.17
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nicaragua,NIC,4.596,3.111,2.601
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Niger,NER,7.772,7.679,7.473
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Nigeria,NGA,6.49,6.106,5.839
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,North America,NAC,2.05520555601872,1.99892714423944,1.90011925267989
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,North Macedonia,MKD,2.206,1.723,1.468
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Northern Mariana Islands,MNP,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Norway,NOR,1.93,1.85,1.95
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,OECD members,OED,1.97591456307598,1.80345557975816,1.7870037945022
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Oman,OMN,7.165,3.716,2.873
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Other small states,OSS,4.39092888043674,3.63849355420056,3.25377236247681
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pacific island small states,PSS,4.36023921012814,3.86196037666048,3.57127725046604
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pakistan,PAK,6.164,5.037,3.951
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Palau,PLW,2.84,1.83,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Panama,PAN,3.057,2.744,2.622
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Papua New Guinea,PNG,4.802,4.525,3.985
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Paraguay,PRY,4.547,3.553,2.73
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Peru,PER,3.912,2.845,2.546
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Philippines,PHL,4.32,3.811,3.18
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Poland,POL,2.06,1.37,1.41
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Portugal,PRT,1.56,1.55,1.39
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Post-demographic dividend,PST,1.74906168789244,1.61460742750439,1.66163360947679
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Pre-demographic dividend,PRE,6.57327770671779,6.10633073019214,5.59087795110013
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Puerto Rico,PRI,2.219,2.0485,1.6235
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Qatar,QAT,4.013,3.236,2.07
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Romania,ROU,1.83,1.31,1.59
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Russian Federation,RUS,1.892,1.195,1.567
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Rwanda,RWA,7.184,5.64,4.52
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Samoa,WSM,5.118,4.503,4.338
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,San Marino,SMR,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sao Tome and Principe,STP,5.828,5.176,4.727
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Saudi Arabia,SAU,5.911,3.971,2.97
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Senegal,SEN,6.448,5.448,5.064
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Serbia,SRB,..,1.48,1.4
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Seychelles,SYC,..,2.08,2.17
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sierra Leone,SLE,6.721,6.319,5.202
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Singapore,SGP,1.83,1.6,1.15
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sint Maarten (Dutch part),SXM,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Slovak Republic,SVK,2.09,1.3,1.43
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Slovenia,SVN,1.46,1.26,1.57
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Small states,SST,4.00800060626264,3.37466561363675,3.04261192682291
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Solomon Islands,SLB,5.851,4.719,4.403
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Somalia,SOM,7.398,7.627,6.865
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Africa,ZAF,3.964,2.694,2.598
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Asia,SAS,4.29989729046572,3.50721477445501,2.7458842006011
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Asia (IDA & IBRD),TSA,4.29989729046572,3.50721477445501,2.7458842006011
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,South Sudan,SSD,6.761,6.223,5.376
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Spain,ESP,1.36,1.22,1.37
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sri Lanka,LKA,2.483,2.24,2.248
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Kitts and Nevis,KNA,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Lucia,LCA,3.399,2.202,1.538
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Martin (French part),MAF,2.12,1.83,1.82
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,St. Vincent and the Grenadines,VCT,2.956,2.379,2.07
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sub-Saharan Africa,SSF,6.34773000454864,5.75529311205185,5.2579877728857
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sub-Saharan Africa (excluding high income),SSA,6.34773000454865,5.75582996111249,5.25835190454332
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sub-Saharan Africa (IDA & IBRD),TSS,6.34773000454864,5.75529311205185,5.2579877728857
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sudan,SDN,6.152,5.471,4.876
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Suriname,SUR,3.267,2.895,2.61
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Sweden,SWE,2.13,1.54,1.98
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Switzerland,CHE,1.58,1.5,1.52
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Syrian Arab Republic,SYR,5.309,4.076,3.404
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tajikistan,TJK,5.225,3.967,3.599
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tanzania,TZA,6.213,5.689,5.427
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Thailand,THA,2.113,1.671,1.542
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Timor-Leste,TLS,5.478,6.113,4.805
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Togo,TGO,6.185,5.419,4.868
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tonga,TON,4.644,4.25,3.913
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Trinidad and Tobago,TTO,2.453,1.753,1.806
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tunisia,TUN,3.476,2.142,2.14
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkey,TUR,3.107,2.503,2.151
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turkmenistan,TKM,4.344,2.824,2.833
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Turks and Caicos Islands,TCA,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Tuvalu,TUV,..,..,..
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Uganda,UGA,7.091,6.866,6.111
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,Ukraine,UKR,1.844,1.11,1.443
"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,United Arab Emirates,ARE,4.454,2.644,1.819
